date,store_id,revenue,transactions,avg_order_value,units_sold,returns,is_promo,is_holiday,temp_c,snow,extreme_weather
2022-02-20,S01,14732.15,470,31.34,921,18,0,0,5.7,0,0
2022-02-21,S01,9087.57,284,32.0,477,10,0,0,3.3,0,0
2022-02-22,S01,9239.89,262,35.27,397,3,0,0,1.8,0,0
2022-02-23,S01,8214.63,278,29.55,565,9,0,0,-0.9,1,0
2022-02-24,S01,9777.72,331,29.54,654,13,0,0,3.1,0,0
2022-02-25,S01,10442.43,302,34.58,496,7,0,0,2.7,0,0
2022-02-26,S01,13511.13,460,29.37,648,17,0,0,5.7,0,0
2022-02-27,S01,13613.77,394,34.55,696,14,0,0,7.9,0,0
2022-02-28,S01,8909.05,275,32.4,552,9,0,0,5.4,0,0
2022-03-01,S01,11071.62,367,30.17,578,6,0,0,5.7,0,0
2022-03-02,S01,10473.0,344,30.44,622,6,0,0,9.1,0,0
2022-03-03,S01,9819.73,305,32.2,454,11,0,0,5.7,0,0
2022-03-04,S01,11898.46,377,31.56,648,10,0,0,4.5,0,0
2022-03-05,S01,18328.0,494,37.1,837,18,0,0,7.6,0,0
2022-03-06,S01,14525.96,439,33.09,778,11,0,0,5.0,0,0
2022-03-07,S01,9541.81,338,28.23,577,5,0,0,4.9,0,0
2022-03-08,S01,9592.07,342,28.05,670,5,0,0,10.0,0,0
2022-03-09,S01,10035.26,306,32.79,583,8,0,0,5.6,0,0
2022-03-10,S01,9255.04,296,31.27,521,7,0,0,-1.3,1,0
2022-03-11,S01,11122.54,310,35.88,457,8,0,0,7.9,0,0
2022-03-12,S01,18126.52,594,30.52,946,19,0,0,6.0,0,0
2022-03-13,S01,14615.87,441,33.14,790,14,0,0,4.9,0,0
2022-03-14,S01,10145.71,273,37.16,466,7,0,0,7.0,0,0
2022-03-15,S01,11223.59,339,33.11,596,10,0,0,8.9,0,0
2022-03-16,S01,11676.03,359,32.52,636,8,0,0,13.6,0,0
2022-03-17,S01,10946.47,292,37.49,551,10,0,0,8.7,0,0
2022-03-18,S01,12208.42,326,37.45,515,8,0,0,9.1,0,0
2022-03-19,S01,17365.5,463,37.51,920,6,0,0,8.3,0,0
2022-03-20,S01,14695.96,503,29.22,859,6,0,0,3.0,0,0
2022-03-21,S01,9004.66,296,30.42,429,8,0,0,8.9,0,0
2022-03-22,S01,10737.87,299,35.91,606,4,0,0,9.4,0,0
2022-03-23,S01,11284.71,320,35.26,595,4,0,0,16.8,0,0
2022-03-24,S01,11364.43,308,36.9,639,5,0,0,9.1,0,0
2022-03-25,S01,11306.71,301,37.56,505,7,0,0,10.8,0,0
2022-03-26,S01,16436.38,433,37.96,858,6,0,0,10.0,0,0
2022-03-27,S01,14340.99,443,32.37,780,8,0,0,6.8,0,0
2022-03-28,S01,9898.73,330,30.0,535,10,0,0,13.9,0,0
2022-03-29,S01,11135.97,394,28.26,704,9,0,0,13.0,0,0
2022-03-30,S01,11692.91,414,28.24,675,11,0,0,13.3,0,0
2022-03-31,S01,11533.35,348,33.14,502,13,0,0,8.4,0,0
2022-04-01,S01,13051.0,363,35.95,755,4,0,0,15.6,0,0
2022-04-02,S01,22287.86,727,30.66,1037,24,1,0,7.4,0,0
2022-04-03,S01,19132.62,623,30.71,928,14,1,0,13.5,0,0
2022-04-04,S01,12921.87,348,37.13,686,6,1,0,18.6,0,0
2022-04-05,S01,12767.54,432,29.55,882,11,1,0,9.2,0,0
2022-04-06,S01,13745.87,392,35.07,573,4,1,0,10.7,0,0
2022-04-07,S01,16215.05,464,34.95,787,5,1,0,12.9,0,0
2022-04-08,S01,13293.82,355,37.45,654,12,0,0,11.3,0,0
2022-04-09,S01,17195.63,596,28.85,1191,7,0,0,8.4,0,0
2022-04-10,S01,15249.61,416,36.66,714,8,0,0,13.4,0,0
2022-04-11,S01,10088.11,300,33.63,614,5,0,0,10.2,0,0
2022-04-12,S01,11150.97,380,29.34,672,6,0,0,15.0,0,0
2022-04-13,S01,11570.59,397,29.15,600,4,0,0,11.1,0,0
2022-04-14,S01,10690.58,356,30.03,576,6,0,0,18.7,0,0
2022-04-15,S01,13003.69,365,35.63,585,9,0,0,11.9,0,0
2022-04-16,S01,16956.14,569,29.8,934,6,0,0,13.4,0,0
2022-04-17,S01,17037.46,558,30.53,787,17,0,0,17.0,0,0
2022-04-18,S01,10740.13,320,33.56,490,7,0,0,11.1,0,0
2022-04-19,S01,12030.01,322,37.36,474,11,0,0,15.7,0,0
2022-04-20,S01,10994.25,340,32.34,593,11,0,0,19.1,0,0
2022-04-21,S01,11501.77,360,31.95,631,11,0,0,10.5,0,0
2022-04-22,S01,12862.28,340,37.83,557,11,0,0,16.1,0,0
2022-04-23,S01,18668.29,532,35.09,981,11,0,0,16.5,0,0
2022-04-24,S01,16226.86,515,31.51,740,7,0,0,18.3,0,0
2022-04-25,S01,9852.52,343,28.72,658,6,0,0,12.4,0,0
2022-04-26,S01,11025.68,372,29.64,542,13,0,0,12.3,0,0
2022-04-27,S01,11320.09,308,36.75,575,5,0,0,18.0,0,0
2022-04-28,S01,11402.69,374,30.49,600,8,0,0,17.5,0,0
2022-04-29,S01,12143.67,410,29.62,701,7,0,0,17.5,0,0
2022-04-30,S01,19396.83,515,37.66,1071,13,0,0,18.0,0,0
2022-05-01,S01,16455.71,540,30.47,1121,10,0,0,15.1,0,0
2022-05-02,S01,10844.17,343,31.62,480,7,0,0,18.0,0,0
2022-05-03,S01,12157.22,371,32.77,649,5,0,0,18.3,0,0
2022-05-04,S01,12233.13,370,33.06,519,6,0,0,15.4,0,0
2022-05-05,S01,12509.24,432,28.96,725,4,0,0,23.3,0,0
2022-05-06,S01,14201.95,503,28.23,811,8,0,0,19.3,0,0
2022-05-07,S01,19402.22,573,33.86,1014,18,0,0,14.5,0,0
2022-05-08,S01,17216.58,497,34.64,944,18,0,0,20.2,0,0
2022-05-09,S01,12084.9,378,31.97,615,14,0,0,15.4,0,0
2022-05-10,S01,11908.88,403,29.55,768,11,0,0,20.8,0,0
2022-05-11,S01,11688.71,411,28.44,815,15,0,0,22.1,0,0
2022-05-12,S01,12293.24,358,34.34,685,12,0,0,16.3,0,0
2022-05-13,S01,13141.95,447,29.4,789,11,0,0,21.8,0,0
2022-05-14,S01,19086.79,525,36.36,1030,18,0,0,20.3,0,0
2022-05-15,S01,15760.53,465,33.89,941,14,0,0,21.6,0,0
2022-05-16,S01,10167.98,291,34.94,454,3,0,0,25.0,0,0
2022-05-17,S01,11771.54,401,29.36,662,5,0,0,18.7,0,0
2022-05-18,S01,11164.64,307,36.37,549,8,0,0,17.2,0,0
2022-05-19,S01,11094.64,323,34.35,606,7,0,0,17.0,0,0
2022-05-20,S01,13869.88,494,28.08,967,16,0,0,17.3,0,0
2022-05-21,S01,18045.42,546,33.05,968,16,0,0,19.6,0,0
2022-05-22,S01,17351.99,605,28.68,1159,10,0,0,21.0,0,0
2022-05-23,S01,11060.13,384,28.8,608,12,0,0,20.9,0,0
2022-05-24,S01,10921.34,363,30.09,696,14,0,0,22.6,0,0
2022-05-25,S01,11232.37,341,32.94,568,8,0,0,20.3,0,0
2022-05-26,S01,12178.15,349,34.89,675,9,0,0,24.7,0,0
2022-05-27,S01,13343.48,387,34.48,562,5,0,0,19.6,0,0
2022-05-28,S01,17022.37,557,30.56,1069,10,0,0,28.7,0,0
2022-05-29,S01,16566.19,491,33.74,691,5,0,0,22.5,0,0
2022-05-30,S01,10371.09,337,30.77,630,10,0,0,18.1,0,0
2022-05-31,S01,11719.78,337,34.78,540,8,0,0,17.5,0,0
2022-06-01,S01,11150.3,341,32.7,588,4,0,0,22.3,0,0
2022-06-02,S01,12785.54,346,36.95,532,13,0,0,20.2,0,0
2022-06-03,S01,14549.26,389,37.4,549,9,0,0,23.1,0,0
2022-06-04,S01,20675.28,571,36.21,1186,13,0,0,22.4,0,0
2022-06-05,S01,23338.92,760,30.71,1175,29,1,0,20.9,0,0
2022-06-06,S01,13007.5,432,30.11,780,6,1,0,18.6,0,0
2022-06-07,S01,15375.34,462,33.28,954,6,1,0,16.6,0,0
2022-06-08,S01,16347.21,451,36.25,792,16,1,0,19.9,0,0
2022-06-09,S01,16710.42,476,35.11,743,17,1,0,23.8,0,0
2022-06-10,S01,16087.31,489,32.9,693,4,1,0,21.9,0,0
2022-06-11,S01,24257.79,736,32.96,1262,14,1,0,17.6,0,0
2022-06-12,S01,23523.88,799,29.44,1310,15,1,0,21.9,0,0
2022-06-13,S01,13058.3,358,36.48,501,11,1,0,22.6,0,0
2022-06-14,S01,15126.18,415,36.45,615,15,1,0,18.8,0,0
2022-06-15,S01,16261.24,462,35.2,938,8,1,0,21.9,0,0
2022-06-16,S01,12395.33,390,31.78,653,15,0,0,21.6,0,0
2022-06-17,S01,14453.47,426,33.93,703,9,0,0,18.1,0,0
2022-06-18,S01,18157.22,590,30.77,845,7,0,0,22.6,0,0
2022-06-19,S01,16500.69,453,36.43,724,17,0,0,23.2,0,0
2022-06-20,S01,11183.47,366,30.56,580,9,0,0,24.7,0,0
2022-06-21,S01,12193.08,407,29.96,676,15,0,0,24.7,0,0
2022-06-22,S01,12426.79,337,36.87,663,9,0,0,17.4,0,0
2022-06-23,S01,13676.55,368,37.16,757,9,0,0,18.7,0,0
2022-06-24,S01,13177.14,374,35.23,536,11,0,0,23.0,0,0
2022-06-25,S01,19251.16,592,32.52,1140,17,0,0,23.0,0,0
2022-06-26,S01,18346.25,594,30.89,851,22,0,0,23.0,0,0
2022-06-27,S01,11547.9,394,29.31,681,8,0,0,33.0,0,0
2022-06-28,S01,11095.97,358,30.99,686,14,0,0,23.1,0,0
2022-06-29,S01,12993.7,424,30.65,788,8,0,0,24.8,0,0
2022-06-30,S01,12564.67,374,33.6,626,5,0,0,24.2,0,0
2022-07-01,S01,19656.09,663,29.65,1024,24,0,1,23.2,0,0
2022-07-02,S01,20130.33,610,33.0,947,22,0,0,20.3,0,0
2022-07-03,S01,18969.59,499,38.02,855,7,0,0,23.5,0,0
2022-07-04,S01,12067.81,403,29.94,589,8,0,0,18.8,0,0
2022-07-05,S01,10917.32,377,28.96,590,6,0,0,20.4,0,0
2022-07-06,S01,11686.45,346,33.78,699,11,0,0,19.6,0,0
2022-07-07,S01,13760.7,428,32.15,723,11,0,0,21.2,0,0
2022-07-08,S01,14010.43,441,31.77,721,5,0,0,27.9,0,0
2022-07-09,S01,21123.72,686,30.79,1425,9,0,0,15.3,0,0
2022-07-10,S01,17966.4,543,33.09,999,19,0,0,22.8,0,0
2022-07-11,S01,11445.39,379,30.2,602,6,0,0,15.9,0,0
2022-07-12,S01,13081.35,408,32.06,698,15,0,0,19.2,0,0
2022-07-13,S01,12116.16,332,36.49,667,3,0,0,23.8,0,0
2022-07-14,S01,14101.83,497,28.37,942,18,1,0,20.7,0,0
2022-07-15,S01,19511.69,596,32.74,1079,5,1,0,17.1,0,0
2022-07-16,S01,21358.12,669,31.93,1370,23,1,0,18.1,0,0
2022-07-17,S01,22388.67,612,36.58,1273,10,1,0,22.2,0,0
2022-07-18,S01,15444.07,530,29.14,799,13,1,0,17.9,0,0
2022-07-19,S01,15118.23,434,34.83,893,13,1,0,20.6,0,0
2022-07-20,S01,11446.92,332,34.48,642,7,0,0,20.0,0,0
2022-07-21,S01,13985.22,417,33.54,595,13,0,0,17.8,0,0
2022-07-22,S01,13000.12,428,30.37,874,12,0,0,26.1,0,0
2022-07-23,S01,18179.5,585,31.08,871,10,0,0,21.5,0,0
2022-07-24,S01,17292.82,503,34.38,950,6,0,0,13.4,0,0
2022-07-25,S01,12550.97,437,28.72,772,12,0,0,19.9,0,0
2022-07-26,S01,12504.79,392,31.9,610,10,0,0,17.2,0,0
2022-07-27,S01,13352.41,475,28.11,765,11,0,0,21.6,0,0
2022-07-28,S01,12831.5,341,37.63,631,12,0,0,16.6,0,0
2022-07-29,S01,14083.98,430,32.75,672,7,0,0,18.5,0,0
2022-07-30,S01,18424.48,489,37.68,925,9,0,0,20.2,0,0
2022-07-31,S01,17340.34,614,28.24,1073,18,0,0,21.1,0,0
2022-08-01,S01,12062.53,374,32.25,590,11,0,0,14.8,0,0
2022-08-02,S01,11724.42,314,37.34,489,3,0,0,17.3,0,0
2022-08-03,S01,12729.06,405,31.43,686,12,0,0,16.7,0,0
2022-08-04,S01,12372.09,412,30.03,806,13,0,0,16.0,0,0
2022-08-05,S01,13340.36,403,33.1,622,15,0,0,23.1,0,0
2022-08-06,S01,19264.37,619,31.12,1221,10,0,0,18.9,0,0
2022-08-07,S01,16979.91,561,30.27,1084,10,0,0,13.7,0,0
2022-08-08,S01,12062.01,321,37.58,560,5,0,0,20.1,0,0
2022-08-09,S01,12066.92,399,30.24,675,11,0,0,23.6,0,0
2022-08-10,S01,13668.31,364,37.55,546,7,0,0,20.1,0,0
2022-08-11,S01,12644.06,419,30.18,872,5,0,0,12.3,0,0
2022-08-12,S01,13643.4,478,28.54,689,10,0,0,15.2,0,0
2022-08-13,S01,18019.77,487,37.0,983,15,0,0,20.3,0,0
2022-08-14,S01,17204.28,453,37.98,929,9,0,0,14.2,0,0
2022-08-15,S01,12125.22,406,29.87,834,13,0,0,17.5,0,0
2022-08-16,S01,11408.89,402,28.38,749,8,0,0,18.3,0,0
2022-08-17,S01,12339.12,388,31.8,633,5,0,0,13.0,0,0
2022-08-18,S01,13365.2,476,28.08,759,9,0,0,15.5,0,0
2022-08-19,S01,13726.68,365,37.61,542,14,0,0,5.7,0,0
2022-08-20,S01,18620.56,619,30.08,1021,21,0,0,12.2,0,0
2022-08-21,S01,18183.91,502,36.22,854,5,0,0,14.3,0,0
2022-08-22,S01,11715.81,357,32.82,592,13,0,0,11.1,0,0
2022-08-23,S01,12223.28,408,29.96,675,15,0,0,19.6,0,0
2022-08-24,S01,13245.83,468,28.3,789,16,0,0,10.2,0,0
2022-08-25,S01,13693.28,383,35.75,547,4,0,0,13.0,0,0
2022-08-26,S01,13543.85,473,28.63,966,8,0,0,14.5,0,0
2022-08-27,S01,18613.3,524,35.52,1063,10,0,0,18.2,0,0
2022-08-28,S01,17473.88,568,30.76,1175,16,0,0,9.4,0,0
2022-08-29,S01,11555.2,377,30.65,716,7,0,0,17.0,0,0
2022-08-30,S01,10578.23,343,30.84,481,11,0,0,13.4,0,0
2022-08-31,S01,13323.03,358,37.22,660,13,0,0,10.2,0,0
2022-09-01,S01,12457.66,441,28.25,689,10,0,0,14.3,0,0
2022-09-02,S01,14026.51,373,37.6,771,8,0,0,13.3,0,0
2022-09-03,S01,17351.26,568,30.55,966,14,0,0,10.7,0,0
2022-09-04,S01,21929.3,588,37.29,898,20,1,0,12.5,0,0
2022-09-05,S01,13313.54,376,35.41,742,12,1,0,10.9,0,0
2022-09-06,S01,14054.27,412,34.11,671,8,1,0,12.2,0,0
2022-09-07,S01,13430.22,424,31.68,825,5,1,0,13.7,0,0
2022-09-08,S01,15028.64,501,30.0,965,8,1,0,16.2,0,0
2022-09-09,S01,16162.29,564,28.66,802,14,1,0,7.5,0,0
2022-09-10,S01,22517.8,720,31.27,1502,26,1,0,17.4,0,0
2022-09-11,S01,20891.51,551,37.92,873,6,1,0,5.0,0,0
2022-09-12,S01,13850.61,478,28.98,835,14,1,0,10.2,0,0
2022-09-13,S01,14973.84,461,32.48,720,10,1,0,12.2,0,0
2022-09-14,S01,11681.39,341,34.26,638,11,0,0,11.0,0,0
2022-09-15,S01,11699.58,320,36.56,596,4,0,0,8.1,0,0
2022-09-16,S01,13417.6,368,36.46,590,9,0,0,9.1,0,0
2022-09-17,S01,19368.5,610,31.75,1169,9,0,0,8.1,0,0
2022-09-18,S01,17931.23,588,30.5,924,8,0,0,7.6,0,0
2022-09-19,S01,11864.42,322,36.85,581,6,0,0,11.7,0,0
2022-09-20,S01,10366.6,324,32.0,678,8,0,0,10.0,0,0
2022-09-21,S01,12290.91,405,30.35,796,11,0,0,6.6,0,0
2022-09-22,S01,13533.5,356,38.02,523,8,0,0,11.2,0,0
2022-09-23,S01,13483.44,372,36.25,739,13,0,0,9.2,0,0
2022-09-24,S01,18086.89,636,28.44,1021,8,0,0,10.5,0,0
2022-09-25,S01,16994.7,568,29.92,1182,15,0,0,9.7,0,0
2022-09-26,S01,10970.44,294,37.31,488,10,0,0,5.1,0,0
2022-09-27,S01,12039.42,370,32.54,585,12,0,0,5.7,0,0
2022-09-28,S01,12009.63,320,37.53,471,8,0,0,9.4,0,0
2022-09-29,S01,13483.2,394,34.22,611,8,0,0,8.8,0,0
2022-09-30,S01,13835.59,470,29.44,725,8,0,0,6.7,0,0
2022-10-01,S01,19091.55,561,34.03,1041,9,0,0,6.9,0,0
2022-10-02,S01,22556.4,802,28.13,1306,24,1,0,10.2,0,0
2022-10-03,S01,15585.89,522,29.86,844,8,1,0,4.3,0,0
2022-10-04,S01,14610.14,406,35.99,724,4,1,0,7.6,0,0
2022-10-05,S01,15278.87,526,29.05,881,13,1,0,5.1,0,0
2022-10-06,S01,13987.65,406,34.45,594,6,1,0,4.8,0,0
2022-10-07,S01,18473.96,528,34.99,890,9,1,0,8.6,0,0
2022-10-08,S01,23490.57,755,31.11,1560,14,1,0,7.6,0,0
2022-10-09,S01,18994.95,564,33.68,930,12,1,0,7.3,0,0
2022-10-10,S01,13191.0,359,36.74,753,7,1,0,8.6,0,0
2022-10-11,S01,14923.71,497,30.03,949,8,1,0,4.5,0,0
2022-10-12,S01,16395.04,584,28.07,1186,13,1,0,6.3,0,0
2022-10-13,S01,16146.09,445,36.28,749,16,1,0,3.1,0,0
2022-10-14,S01,18020.13,552,32.65,835,5,1,0,4.9,0,0
2022-10-15,S01,18639.35,556,33.52,1027,20,0,0,3.3,0,0
2022-10-16,S01,16405.67,567,28.93,1040,11,0,0,3.8,0,0
2022-10-17,S01,12738.82,385,33.09,578,7,0,0,5.1,0,0
2022-10-18,S01,12764.51,384,33.24,786,5,0,0,0.7,0,0
2022-10-19,S01,12828.47,389,32.98,763,15,0,0,9.2,0,0
2022-10-20,S01,13182.81,439,30.03,653,16,0,0,-0.3,0,0
2022-10-21,S01,12460.69,330,37.76,573,3,0,0,-1.1,0,0
2022-10-22,S01,19455.13,522,37.27,872,19,0,0,5.8,0,0
2022-10-23,S01,18940.33,553,34.25,1093,8,0,0,4.6,0,0
2022-10-24,S01,13429.8,374,35.91,581,8,0,0,3.9,0,0
2022-10-25,S01,12404.67,340,36.48,673,5,0,0,3.7,0,0
2022-10-26,S01,14147.11,468,30.23,786,11,0,0,1.6,0,0
2022-10-27,S01,11798.63,370,31.89,549,6,0,0,-1.2,0,0
2022-10-28,S01,14648.19,415,35.3,841,4,0,0,1.5,0,0
2022-10-29,S01,18170.23,540,33.65,1042,6,0,0,-0.9,0,0
2022-10-30,S01,16141.39,443,36.44,656,12,0,0,3.9,0,0
2022-10-31,S01,12283.23,366,33.56,673,7,0,0,0.4,0,0
2022-11-01,S01,13160.16,408,32.26,737,9,0,0,-1.8,0,0
2022-11-02,S01,15620.53,451,34.64,772,10,1,0,-0.5,0,0
2022-11-03,S01,17660.9,625,28.26,1145,15,1,0,1.6,0,0
2022-11-04,S01,19087.13,628,30.39,1214,20,1,0,-1.5,0,0
2022-11-05,S01,22640.26,694,32.62,1058,16,1,0,-2.4,0,0
2022-11-06,S01,21645.24,744,29.09,1108,17,1,0,0.6,0,0
2022-11-07,S01,15490.8,535,28.95,914,13,1,0,0.5,0,0
2022-11-08,S01,11567.9,407,28.42,751,5,0,0,-1.9,0,0
2022-11-09,S01,13962.17,395,35.35,768,10,0,0,-2.0,0,0
2022-11-10,S01,14807.73,518,28.59,907,11,0,0,0.0,0,0
2022-11-11,S01,13689.91,364,37.61,544,12,0,0,-5.2,0,0
2022-11-12,S01,19322.23,508,38.04,971,17,0,0,-5.2,0,0
2022-11-13,S01,21012.75,701,29.98,1463,17,0,0,-3.2,0,0
2022-11-14,S01,11713.65,311,37.66,634,4,0,0,-1.8,0,0
2022-11-15,S01,11892.88,331,35.93,679,3,0,0,-0.4,0,0
2022-11-16,S01,14298.38,453,31.56,873,6,0,0,3.0,0,0
2022-11-17,S01,15094.32,408,37.0,649,14,0,0,1.0,0,0
2022-11-18,S01,14630.52,497,29.44,870,18,0,0,-2.2,0,0
2022-11-19,S01,18968.16,630,30.11,997,15,0,0,-1.8,0,0
2022-11-20,S01,16686.77,534,31.25,761,8,0,0,-4.9,0,0
2022-11-21,S01,12593.62,425,29.63,873,12,0,0,-2.1,0,0
2022-11-22,S01,12422.17,336,36.97,510,11,0,0,-3.0,0,0
2022-11-23,S01,11646.34,399,29.19,706,11,0,0,-1.2,0,0
2022-11-24,S01,14314.29,453,31.6,911,12,0,0,-4.8,0,0
2022-11-25,S01,15110.15,447,33.8,901,5,0,0,-0.8,0,0
2022-11-26,S01,21491.14,566,37.97,1041,12,0,0,2.1,0,0
2022-11-27,S01,17654.06,490,36.03,776,19,0,0,-2.9,0,0
2022-11-28,S01,12327.58,365,33.77,603,12,0,0,-1.4,0,0
2022-11-29,S01,11948.97,368,32.47,560,11,0,0,-0.6,0,0
2022-11-30,S01,11873.54,416,28.54,821,7,0,0,-4.0,0,0
2022-12-01,S01,13663.54,397,34.42,829,10,0,0,-2.2,1,0
2022-12-02,S01,14309.73,413,34.65,668,4,0,0,-2.9,0,0
2022-12-03,S01,22272.23,785,28.37,1181,22,0,0,-2.9,0,0
2022-12-04,S01,17771.72,549,32.37,965,20,0,0,-1.5,0,0
2022-12-05,S01,14250.66,486,29.32,757,14,0,0,3.4,0,0
2022-12-06,S01,13408.82,475,28.23,665,9,0,0,-5.5,0,0
2022-12-07,S01,15512.29,533,29.1,879,8,0,0,-3.5,0,0
2022-12-08,S01,12548.13,370,33.91,670,5,0,0,-0.3,1,0
2022-12-09,S01,13241.91,386,34.31,668,5,0,0,-3.8,1,0
2022-12-10,S01,20918.32,559,37.42,877,8,0,0,-7.4,0,0
2022-12-11,S01,18142.29,626,28.98,1156,22,0,0,-9.1,0,0
2022-12-12,S01,12722.41,355,35.84,596,6,0,0,-2.3,0,0
2022-12-13,S01,13860.17,492,28.17,910,13,0,0,-1.2,0,0
2022-12-14,S01,15937.53,505,31.56,935,11,0,0,1.0,0,0
2022-12-15,S01,15952.65,426,37.45,815,7,0,0,-3.7,0,0
2022-12-16,S01,14969.81,404,37.05,578,10,0,0,-4.3,0,0
2022-12-17,S01,23289.31,726,32.08,1137,8,0,0,-2.6,1,0
2022-12-18,S01,21767.63,608,35.8,856,16,0,0,-6.8,0,0
2022-12-19,S01,13028.06,348,37.44,521,5,0,0,-2.7,0,0
2022-12-20,S01,11660.21,342,34.09,600,10,0,0,-2.7,0,0
2022-12-21,S01,13943.56,385,36.22,586,7,0,0,-3.8,0,0
2022-12-22,S01,14571.15,469,31.07,672,17,0,0,-3.7,0,0
2022-12-23,S01,14675.46,409,35.88,777,4,0,0,1.1,0,0
2022-12-24,S01,21858.45,599,36.49,1151,14,0,0,-2.5,0,0
2022-12-25,S01,23973.18,676,35.46,1160,11,0,1,-4.4,1,0
2022-12-26,S01,16965.92,583,29.1,911,6,0,1,-8.2,0,0
2022-12-27,S01,14027.13,447,31.38,860,13,0,0,-7.5,0,0
2022-12-28,S01,14858.74,407,36.51,772,7,0,0,-1.8,0,0
2022-12-29,S01,14084.82,419,33.62,714,14,0,0,-5.8,0,0
2022-12-30,S01,15877.73,477,33.29,756,13,0,0,-4.2,0,0
2022-12-31,S01,20907.07,555,37.67,861,20,0,0,-2.9,0,0
2023-01-01,S01,18470.0,656,28.16,1037,11,0,1,1.4,0,0
2023-01-02,S01,8998.96,253,35.57,521,8,0,0,-0.1,0,0
2023-01-03,S01,8748.02,279,31.35,562,5,0,0,-2.6,1,0
2023-01-04,S01,8494.81,279,30.45,567,8,0,0,1.4,1,0
2023-01-05,S01,7893.3,225,35.08,419,8,0,0,-0.4,1,0
2023-01-06,S01,11009.34,336,32.77,667,10,0,0,-8.1,0,0
